Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
Bch-16S-V3V4-048-2_S48_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 30.0)	(14.0, 108.0)	(15.0, 123.0)	(16.0, 76.0)	(17.0, 36.0)	(18.0, 26.0)	(19.0, 31.0)	(20.0, 51.0)	(21.0, 85.0)	(22.0, 149.0)	(23.0, 249.0)	(24.0, 371.0)	(25.0, 356.0)	(26.0, 554.0)	(27.0, 776.0)	(28.0, 1186.0)	(29.0, 1902.0)	(30.0, 2743.0)	(31.0, 4322.0)	(32.0, 6468.0)	(33.0, 9785.0)	(34.0, 15201.0)	(35.0, 30404.0)	(36.0, 38859.0)	(37.0, 48.0)
Bch-16S-V3V4-049-2_S49_L002_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 11.0)	(21.0, 14.0)	(22.0, 86.0)	(23.0, 207.0)	(24.0, 408.0)	(25.0, 666.0)	(26.0, 1039.0)	(27.0, 1510.0)	(28.0, 2221.0)	(29.0, 2967.0)	(30.0, 3953.0)	(31.0, 5849.0)	(32.0, 8442.0)	(33.0, 11977.0)	(34.0, 19061.0)	(35.0, 30325.0)	(36.0, 13674.0)	(37.0, 6.0)
Bch-16S-V3V4-049-2_S49_L002_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 23.0)	(14.0, 114.0)	(15.0, 133.0)	(16.0, 67.0)	(17.0, 25.0)	(18.0, 13.0)	(19.0, 26.0)	(20.0, 42.0)	(21.0, 71.0)	(22.0, 112.0)	(23.0, 213.0)	(24.0, 284.0)	(25.0, 265.0)	(26.0, 319.0)	(27.0, 489.0)	(28.0, 785.0)	(29.0, 1346.0)	(30.0, 2077.0)	(31.0, 3305.0)	(32.0, 5308.0)	(33.0, 8409.0)	(34.0, 13699.0)	(35.0, 27859.0)	(36.0, 37370.0)	(37.0, 68.0)
Bch-16S-V3V4-050-2_S50_L002_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 5.0)	(21.0, 24.0)	(22.0, 67.0)	(23.0, 168.0)	(24.0, 352.0)	(25.0, 577.0)	(26.0, 1026.0)	(27.0, 1562.0)	(28.0, 2101.0)	(29.0, 2739.0)	(30.0, 3611.0)	(31.0, 5023.0)	(32.0, 7269.0)	(33.0, 11400.0)	(34.0, 18845.0)	(35.0, 38206.0)	(36.0, 42669.0)	(37.0, 37.0)
Bch-16S-V3V4-050-2_S50_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 50.0)	(14.0, 120.0)	(15.0, 125.0)	(16.0, 90.0)	(17.0, 42.0)	(18.0, 35.0)	(19.0, 42.0)	(20.0, 61.0)	(21.0, 121.0)	(22.0, 209.0)	(23.0, 284.0)	(24.0, 406.0)	(25.0, 483.0)	(26.0, 685.0)	(27.0, 1066.0)	(28.0, 1675.0)	(29.0, 2469.0)	(30.0, 3852.0)	(31.0, 5660.0)	(32.0, 8435.0)	(33.0, 12412.0)	(34.0, 19606.0)	(35.0, 37568.0)	(36.0, 40113.0)	(37.0, 67.0)
Bch-16S-V3V4-051-2_S51_L002_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 6.0)	(18.0, 9.0)	(19.0, 6.0)	(20.0, 22.0)	(21.0, 36.0)	(22.0, 126.0)	(23.0, 278.0)	(24.0, 617.0)	(25.0, 1051.0)	(26.0, 1652.0)	(27.0, 2443.0)	(28.0, 3443.0)	(29.0, 4775.0)	(30.0, 6387.0)	(31.0, 8455.0)	(32.0, 11769.0)	(33.0, 15741.0)	(34.0, 15151.0)	(35.0, 6560.0)	(36.0, 600.0)	
Bch-16S-V3V4-051-2_S51_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 24.0)	(14.0, 83.0)	(15.0, 71.0)	(16.0, 53.0)	(17.0, 20.0)	(18.0, 26.0)	(19.0, 18.0)	(20.0, 33.0)	(21.0, 44.0)	(22.0, 77.0)	(23.0, 103.0)	(24.0, 170.0)	(25.0, 196.0)	(26.0, 233.0)	(27.0, 293.0)	(28.0, 467.0)	(29.0, 822.0)	(30.0, 1315.0)	(31.0, 2265.0)	(32.0, 3814.0)	(33.0, 6285.0)	(34.0, 10898.0)	(35.0, 23783.0)	(36.0, 27994.0)	(37.0, 41.0)
Bch-16S-V3V4-052-2_S52_L002_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 5.0)	(20.0, 8.0)	(21.0, 27.0)	(22.0, 88.0)	(23.0, 192.0)	(24.0, 346.0)	(25.0, 423.0)	(26.0, 741.0)	(27.0, 1103.0)	(28.0, 1683.0)	(29.0, 2212.0)	(30.0, 3125.0)	(31.0, 4481.0)	(32.0, 6836.0)	(33.0, 10323.0)	(34.0, 16644.0)	(35.0, 33027.0)	(36.0, 32897.0)	(37.0, 21.0)
Bch-16S-V3V4-052-2_S52_L002_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 31.0)	(14.0, 107.0)	(15.0, 118.0)	(16.0, 70.0)	(17.0, 34.0)	(18.0, 24.0)	(19.0, 44.0)	(20.0, 52.0)	(21.0, 92.0)	(22.0, 148.0)	(23.0, 260.0)	(24.0, 418.0)	(25.0, 345.0)	(26.0, 470.0)	(27.0, 701.0)	(28.0, 1077.0)	(29.0, 1733.0)	(30.0, 2549.0)	(31.0, 4116.0)	(32.0, 6437.0)	(33.0, 9778.0)	(34.0, 15275.0)	(35.0, 31102.0)	(36.0, 39129.0)	(37.0, 77.0)
Bch-16S-V3V4-053-2_S53_L002_R1_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 10.0)	(21.0, 19.0)	(22.0, 84.0)	(23.0, 180.0)	(24.0, 345.0)	(25.0, 552.0)	(26.0, 943.0)	(27.0, 1368.0)	(28.0, 1925.0)	(29.0, 2729.0)	(30.0, 3664.0)	(31.0, 4950.0)	(32.0, 7244.0)	(33.0, 11597.0)	(34.0, 18530.0)	(35.0, 37161.0)	(36.0, 38048.0)	(37.0, 28.0)
Bch-16S-V3V4-053-2_S53_L002_R2_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 8.0)	(13.0, 44.0)	(14.0, 133.0)	(15.0, 114.0)	(16.0, 60.0)	(17.0, 43.0)	(18.0, 20.0)	(19.0, 42.0)	(20.0, 63.0)	(21.0, 131.0)	(22.0, 177.0)	(23.0, 277.0)	(24.0, 412.0)	(25.0, 445.0)	(26.0, 618.0)	(27.0, 845.0)	(28.0, 1228.0)	(29.0, 1866.0)	(30.0, 2970.0)	(31.0, 4659.0)	(32.0, 7224.0)	(33.0, 10871.0)	(34.0, 17101.0)	(35.0, 34476.0)	(36.0, 45480.0)	(37.0, 75.0)
Bch-16S-V3V4-054-2_S54_L002_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 5.0)	(21.0, 22.0)	(22.0, 50.0)	(23.0, 120.0)	(24.0, 189.0)	(25.0, 260.0)	(26.0, 509.0)	(27.0, 813.0)	(28.0, 1101.0)	(29.0, 1482.0)	(30.0, 2073.0)	(31.0, 2693.0)	(32.0, 3861.0)	(33.0, 6177.0)	(34.0, 10364.0)	(35.0, 21528.0)	(36.0, 31223.0)	(37.0, 39.0)
Bch-16S-V3V4-054-2_S54_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 30.0)	(14.0, 87.0)	(15.0, 72.0)	(16.0, 54.0)	(17.0, 24.0)	(18.0, 19.0)	(19.0, 34.0)	(20.0, 61.0)	(21.0, 99.0)	(22.0, 145.0)	(23.0, 225.0)	(24.0, 348.0)	(25.0, 338.0)	(26.0, 433.0)	(27.0, 614.0)	(28.0, 902.0)	(29.0, 1366.0)	(30.0, 2131.0)	(31.0, 3092.0)	(32.0, 4631.0)	(33.0, 7070.0)	(34.0, 11031.0)	(35.0, 22072.0)	(36.0, 27590.0)	(37.0, 37.0)
