Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Bch-16S-V3V4-017-2_S17_L002_R1_001	(1.0, 7.016475317477236)	(2.0, 2.181989828547066)	(3.0, 1.3909614154764443)	(4.0, 1.0049639126595)	(5.0, 0.7955964308554374)	(6.0, 0.849651307975759)	(7.0, 0.7247921551907909)	(8.0, 0.6212504187349637)	(9.0, 0.6372384809818192)	('>10', 15.722355879038888)	('>50', 7.507537229344946)	('>100', 27.0670280476292)	('>500', 18.752474342966774)	('>1k', 15.727685233121175)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-017-2_S17_L002_R2_001	(1.0, 6.545208149343729)	(2.0, 2.0769254194962996)	(3.0, 1.356701282090325)	(4.0, 0.9988732222797454)	(5.0, 0.8831501050644089)	(6.0, 0.7994031123427842)	(7.0, 0.6395224898742272)	(8.0, 0.6334317994944727)	(9.0, 0.5276060541462375)	('>10', 12.709748149952796)	('>50', 8.431799494472699)	('>100', 24.939093096202456)	('>500', 6.171392027286293)	('>1k', 33.287145597953526)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-018-2_S18_L002_R1_001	(1.0, 7.863212209697751)	(2.0, 2.4321456748252066)	(3.0, 1.4990070098754908)	(4.0, 1.1208546062952853)	(5.0, 0.934045505246071)	(6.0, 0.8215973084980004)	(7.0, 0.6665276178212255)	(8.0, 0.667434458117581)	(9.0, 0.5713093867039076)	('>10', 15.442583406636256)	('>50', 7.414326263001823)	('>100', 29.35532723332094)	('>500', 16.461871899739737)	('>1k', 14.749757420220725)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-018-2_S18_L002_R2_001	(1.0, 6.444913986197891)	(2.0, 2.0041170549454534)	(3.0, 1.3140115894189874)	(4.0, 1.0664441885139608)	(5.0, 0.8478956770923073)	(6.0, 0.8107152249417356)	(7.0, 0.8315725517579099)	(8.0, 0.6746891804884242)	(9.0, 0.636601888041497)	('>10', 12.870784326172318)	('>50', 9.359498698684176)	('>100', 24.708677554795823)	('>500', 12.730224080237228)	('>1k', 25.699853998712285)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-019-2_S19_L002_R1_001	(1.0, 7.505347424662233)	(2.0, 2.2851779316071155)	(3.0, 1.3998068609489085)	(4.0, 0.9097390817772402)	(5.0, 0.7897040640427433)	(6.0, 0.7093798792429672)	(7.0, 0.7897040640427433)	(8.0, 0.6281531755128564)	(9.0, 0.6416909594678748)	('>10', 16.11537802005397)	('>50', 9.279699641699985)	('>100', 30.129691970289073)	('>500', 15.138852537431974)	('>1k', 13.677674389220314)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-019-2_S19_L002_R2_001	(1.0, 6.194889937816446)	(2.0, 2.092038880515519)	(3.0, 1.3348254979648198)	(4.0, 1.1299537007788738)	(5.0, 0.8709307677728542)	(6.0, 0.8122670373011074)	(7.0, 0.71389247389464)	(8.0, 0.707574841382298)	(9.0, 0.6092002779758305)	('>10', 13.19211920470032)	('>50', 8.406061317136126)	('>100', 22.981742042039333)	('>500', 6.86636402198536)	('>1k', 34.08813999873647)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-020-2_S20_L002_R1_001	(1.0, 6.970296178480849)	(2.0, 2.3169840519279545)	(3.0, 1.4185616644456862)	(4.0, 1.0015905085328634)	(5.0, 0.918841078106865)	(6.0, 0.7802089154451275)	(7.0, 0.7673129003138031)	(8.0, 0.6190087263035722)	(9.0, 0.6190087263035722)	('>10', 15.753557150840392)	('>50', 9.426987060998151)	('>100', 31.699479860723034)	('>500', 17.258092249494904)	('>1k', 10.450070928083223)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-020-2_S20_L002_R2_001	(1.0, 6.542578343291923)	(2.0, 2.2310106177191247)	(3.0, 1.4572497098396595)	(4.0, 1.061771912479044)	(5.0, 0.8758543610024502)	(6.0, 0.6254567338692344)	(7.0, 0.7447448738339854)	(8.0, 0.6705927868288699)	(9.0, 0.6286807376520656)	('>10', 14.26084339938959)	('>50', 8.446889911017495)	('>100', 21.861969651377724)	('>500', 0.951081115935176)	('>1k', 39.64127584576366)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-021-2_S21_L002_R1_001	(1.0, 9.08462904888265)	(2.0, 2.355314809535297)	(3.0, 1.4901642579881138)	(4.0, 1.0000219303054891)	(5.0, 0.8717296431939296)	(6.0, 0.7368582644356236)	(7.0, 0.7675606921204412)	(8.0, 0.6228206758920152)	(9.0, 0.5230377859163579)	('>10', 15.829294502072413)	('>50', 11.72503782977697)	('>100', 36.2036448167723)	('>500', 17.641834250751113)	('>1k', 1.1480514923572886)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-021-2_S21_L002_R2_001	(1.0, 6.724928178249523)	(2.0, 2.0965372047632624)	(3.0, 1.4638478914011273)	(4.0, 0.995635869207658)	(5.0, 0.8607644904493519)	(6.0, 0.6118555231474375)	(7.0, 0.614048553696353)	(8.0, 0.7807188754139345)	(9.0, 0.730279172788877)	('>10', 12.434483212351148)	('>50', 12.229434856027545)	('>100', 30.177196868352375)	('>500', 8.573652930985329)	('>1k', 21.706616373166078)	('>5k', 0.0)	('>10k+', 0.0)
